user_name,member,rating,comment,type,likes_num,comments_numpost_time,collect_time
nan,非会员,-1,nan,nan,nan,nan,nan,2020-07-25 16:12:47.175904
nan,非会员,5,还行，就是太贵了。,500ml整箱,0,0,2020-07-25 14:02,2020-07-25 16:12:47.402679
年光斯巴巴,PLUS会员,5,口感好，多次回购，小孩子喝也放心,500ml整箱,0,0,2020-07-25 13:57,2020-07-25 16:12:47.570660
水晶宝I,PLUS会员,5,多次购买了、水不错..............,1.25L*12整箱,0,0,2020-07-25 13:46,2020-07-25 16:12:47.798170
beijingren-,PLUS会员,5,谢谢小窦，我刚才说成小刘了，对不起!,330ml整箱,0,0,2020-07-25 13:16,2020-07-25 16:12:47.990656
Z***7,非会员,5,进口的，特别好。,330ml单组,0,0,2020-07-25 13:04,2020-07-25 16:12:48.163872
JJ037,非会员,5,收到，一直在喝依云矿泉水，现在都是新版了，收到的还是老款依云矿，宣传是新款的商家就要发新款的，感觉有点欺骗手段！,500ml整箱,0,0,2020-07-25 12:24,2020-07-25 16:12:48.384986
jd_40c8d9b12c7d7,PLUS会员,5,我家的专用水，一直喝、一直喝,500ml整箱,0,0,2020-07-25 12:23,2020-07-25 16:12:48.577865
j***n,PLUS会员,5,一直购买中 还可以 希望日期新一点,500ml整箱,0,0,2020-07-25 12:11,2020-07-25 16:12:48.777666
j***n,PLUS会员,5,一直在买 还可以 就是日期能不能新一点啊,1L*12整箱,0,0,2020-07-25 12:11,2020-07-25 16:12:48.956740
起-个名字就这么难啊,PLUS会员,5,多次购买、非常不错,500ml整箱,0,0,2020-07-25 14:36,2020-07-25 16:12:50.135457
jd_552636885,PLUS会员,5,还行，就是太贵了。,500ml整箱,0,0,2020-07-25 14:02,2020-07-25 16:12:50.259763
年光斯巴巴,PLUS会员,5,口感好，多次回购，小孩子喝也放心,500ml整箱,0,0,2020-07-25 13:57,2020-07-25 16:12:50.364625
水晶宝I,PLUS会员,5,多次购买了、水不错..............,1.25L*12整箱,0,0,2020-07-25 13:46,2020-07-25 16:12:50.474967
beijingren-,PLUS会员,5,谢谢小窦，我刚才说成小刘了，对不起!,330ml整箱,0,0,2020-07-25 13:16,2020-07-25 16:12:50.582308
Z***7,非会员,5,进口的，特别好。,330ml单组,0,0,2020-07-25 13:04,2020-07-25 16:12:50.707444
JJ037,非会员,5,收到，一直在喝依云矿泉水，现在都是新版了，收到的还是老款依云矿，宣传是新款的商家就要发新款的，感觉有点欺骗手段！,500ml整箱,0,0,2020-07-25 12:24,2020-07-25 16:12:50.807449
jd_40c8d9b12c7d7,PLUS会员,5,我家的专用水，一直喝、一直喝,500ml整箱,0,0,2020-07-25 12:23,2020-07-25 16:12:50.927034
j***n,PLUS会员,5,一直购买中 还可以 希望日期新一点,500ml整箱,0,0,2020-07-25 12:11,2020-07-25 16:12:51.045754
j***n,PLUS会员,5,一直在买 还可以 就是日期能不能新一点啊,1L*12整箱,0,0,2020-07-25 12:11,2020-07-25 16:12:51.158869
j***a,PLUS会员,5,很不错，就是这次箱子有点烂了,330ml玻璃瓶整箱,0,0,2020-07-25 11:57,2020-07-25 16:12:52.294495
j***a,PLUS会员,5,依云的水喝着很清冽可口,330ml玻璃瓶整箱,0,0,2020-07-25 11:56,2020-07-25 16:12:52.475718
j***a,PLUS会员,5,挺好的,330ml玻璃瓶整箱,0,0,2020-07-25 11:53,2020-07-25 16:12:52.647239
何天佑1,非会员,1,水竟然是2019年的水，太假了就是不放心才选的京东自营，感觉来太打脸了。以后不在京东买东西了！这是赤裸裸的问题！,750ml玻璃瓶整箱,0,0,2020-07-25 11:48,2020-07-25 16:12:52.761718
jd_ChanFaI_POON,PLUS会员,5,外包装需要改善。,500ml单组,0,0,2020-07-25 11:17,2020-07-25 16:12:52.892067
